PRODUCTO;MEDIDA;NIP;Disponible;Clasificación;NIP;NIP;NIP;NIP;NIP;NIP;NIP;NIP;NIP;NIP;CTRL
;;;;;dic-23;nov-23;oct-23;sep-23;ago-23;jul-23;jun-23;ene-23;dic-22;nov-22;DIF
ADENGO;L;110,33;SI;Selectivos;110,33;110,39;109,47;108,59;107,79;105,83;105,97;97,42;97,52;97,23;-0,06%
ALIETTE;KG;23,44;SI;Selectivos;23,44;23,34;23,12;21,98;21,91;22,13;22,84;22,81;23,69;23,09;0,41%
ALION;L;465,26;SI;Selectivos;465,26;462,76;470,79;488,07;499,23;470,56;470,56;443,82;448,13;445,68;0,54%
ALSYSTIN;L;96,07;SI;Selectivos;96,07;101,47;85,28;84,84;81,57;81,19;81,44;69,38;71,91;70,85;-5,33%
BELT;L;138,61;SI;Selectivos;138,61;139,8;138,88;139,79;138,64;143,56;138,25;149,03;151,84;151,05;-0,85%
BIAGRO;L;-   ;SI;NO;0;0;0;0;0;0;0;0;0;0;0,00%
BRODAL;L;47,6;SI;Selectivos;47,6;47,2;46,5;44,94;45,64;47,22;47,46;45,67;45,69;45,6;0,84%
CALYPSO;L;96,99;SI;Selectivos;96,99;100,29;80,19;77,13;77;79,47;80,35;76,18;76,19;79,7;-3,29%
CELERUM;L;26,16;SI;Selectivos;26,16;26,13;18,01;26,12;23,74;23,74;23,74;23,74;24,78;24,07;0,08%
CHUCARO;L;89,82;SI;Selectivos;89,82;88,2;87,76;87,91;87,85;87,33;85,81;77,87;78,06;77,8;1,84%
CLAP;L;262,94;SI;Selectivos;262,94;262,94;262,94;262,94;262,94;262,94;262,94;217,15;217,15;217,15;0,00%
CLEVERDIM;L;8;SI;Selectivos;8;8;8;8;8;8;8;20,08;20,08;20,08;0,00%
CONFIDOR OD;L;35,58;SI;Selectivos;35,58;35,38;94,39;77,15;73,41;64,69;64,13;58,63;63,45;59,71;0,58%
CONFIDOR WG70;L;95,43;SI;Selectivos;95,43;94,98;;;;;;;;;0,47%
CREATE PACK;PCE;153,09;SI;Selectivos;153,09;156,47;169,32;140,26;118,44;151,02;119,45;110,23;113,56;111,05;-2,16%
CREATE PACK FAST;PCE;121,42;SI;Selectivos;121,42;123,07;121,44;114,93;;;;;;;-1,34%
CREATE PRO;L;52,78;SI;Selectivos;52,78;52,78;53,8;54,73;8,51;8,51;8,51;19,44;16,84;51,98;0,00%
CREATE PRO x800;L;10,67;SI;Selectivos;10,67;10,67;8,43;8,43;;;;;;;0,00%
CRIPTON;L;41,86;SI;Selectivos;41,86;42,73;42,24;41,56;41,73;41,23;41,3;31,42;31,14;31,29;-2,05%
CRIPTON XPRO;L;63,14;SI;Selectivos;63,14;64,05;63,35;62,83;62,28;61,21;58,64;51,7;51,07;51,55;-1,42%
CROPSTAR;L;59,59;SI;Selectivos;59,59;60,96;60,76;65,41;66,07;63,17;52,51;40,89;42,84;40,77;-2,25%
DECIS FLOW;L;85,35;SI;Selectivos;85,35;86,02;86,47;86,87;91,08;94,32;91,24;69,5;70,37;69,99;-0,77%
DECIS FORTE;L;32,46;SI;Selectivos;32,46;32,37;32,61;31,74;31,81;29,91;30,07;27,14;27,6;27,33;0,28%
DEKALB;bolsas;215,93;SI;Dekalb;215,93;216,4;217,17;216,84;217,19;217,73;218,22;174,87;175,05;174,92;-0,22%
DEORO;L;16,1;SI;Selectivos;16,1;15,97;15,33;14,96;15,17;14,99;14,98;16,39;17,17;17,26;0,83%
DIMENSION;UNI;-   ;SI;NO;0;0;0;0;0;0;0;0;0;0;0,00%
DISCO;L;9,44;SI;Selectivos;9,44;9,44;6,68;9,32;4,34;4,34;4,34;4,34;4,8;4,34;0,00%
EMESTO;L;69,54;NO;Selectivos;69,54;69,69;69,25;66,66;66,27;65,74;65,91;60,37;61,8;60,71;-0,21%
ENVIDOR;L;-   ;SI;Selectivos;0;0;0;0;0;0;0;43,49;43,49;43,49;0,00%
EQUIP;PCE;231,23;SI;Selectivos;231,23;237,06;233,7;230,52;231,76;224,16;226,73;177,77;179,76;178,06;-2,46%
EVERGOL;L;55,59;SI;Selectivos;55,59;55,33;27,53;51,38;46,42;46,42;46,42;46,42;52;46,57;0,47%
FINISH;L;28,47;SI;Selectivos;28,47;28,97;28,97;29,08;29,34;27,29;24,47;20,5;20,37;20,44;-1,71%
